"region","order_date","total_revenue","total_orders","avg_order_value"
"Southeast Asia","2023-04-04","344.82","1","344.82"
"Europe","2023-04-05","261.47","2","130.735"
"North America","2023-04-05","821.08","4","205.27"
"Southeast Asia","2023-04-05","37.24","1","37.24"
"Europe","2023-04-06","225.35","1","225.35"
"Latin America","2023-04-06","74.47","1","74.47"
"North America","2023-04-06","541.04","2","270.52"
"Europe","2023-04-07","288.78","3","96.25999999999999"
"Latin America","2023-04-07","586.68","1","586.68"
"Middle East","2023-04-07","32.24","1","32.24"
"Europe","2023-04-08","83.86","1","83.86"
"Southeast Asia","2023-04-09","113.45","1","113.45"
"Southeast Asia","2023-04-10","202.98000000000002","2","101.49000000000001"
"North America","2023-04-11","101.31","1","101.31"
"Southeast Asia","2023-04-11","100.98","2","50.49"
"Europe","2023-04-12","588.17","1","588.17"
"Southeast Asia","2023-04-12","481.7","2","240.85"
"North America","2023-04-13","1331.25","2","665.625"
"Europe","2023-04-14","52.63","1","52.63"
"North America","2023-04-15","297.4","2","148.7"
"Europe","2023-04-16","272.47","1","272.47"
"Middle East","2023-04-16","116.21000000000001","2","58.105000000000004"
"North America","2023-04-16","29.62","1","29.62"
"Europe","2023-04-17","1208.11","4","302.0275"
"Latin America","2023-04-17","12.46","1","12.46"
"Europe","2023-04-18","7.41","1","7.41"
"North America","2023-04-18","34.28","1","34.28"
"Southeast Asia","2023-04-18","640.44","2","320.22"
"Latin America","2023-04-19","50.53","1","50.53"
"Southeast Asia","2023-04-19","41.31","1","41.31"
"Europe","2023-04-20","20.44","1","20.44"
"North America","2023-04-20","158.41","1","158.41"
"Southeast Asia","2023-04-20","121.99000000000001","2","60.995000000000005"
"Latin America","2023-04-21","34.12","1","34.12"
"Europe","2023-04-22","1264.96","4","316.24"
"North America","2023-04-22","417.6","2","208.8"
"Southeast Asia","2023-04-22","1378.31","2","689.155"
"Europe","2023-04-24","885.97","3","295.3233333333333"
"Middle East","2023-04-24","145.26","2","72.63"
"North America","2023-04-24","146.17","2","73.085"
"Southeast Asia","2023-04-24","32.45","1","32.45"
"Europe","2023-04-25","707.76","3","235.92"
"North America","2023-04-25","1770.48","4","442.62"
"Europe","2023-04-26","1749.86","3","583.2866666666666"
"Middle East","2023-04-26","184.79","1","184.79"
"North America","2023-04-26","218.08","1","218.08"
"Southeast Asia","2023-04-26","96.8","1","96.8"
"Europe","2023-04-27","53.48","1","53.48"
"North America","2023-04-27","879.36","1","879.36"
"Europe","2023-04-28","2798.3","3","932.7666666666668"
"Southeast Asia","2023-04-28","72","1","72"
"Middle East","2023-04-29","17.66","1","17.66"
"North America","2023-04-29","387.82","1","387.82"
"Europe","2023-05-01","330.18","2","165.09"
"North America","2023-05-01","472.67","1","472.67"
"Southeast Asia","2023-05-01","507.15","2","253.575"
"Europe","2023-05-02","797.1999999999999","4","199.29999999999998"
"North America","2023-05-02","136.2","2","68.1"
"Europe","2023-05-03","92.41","1","92.41"
"Latin America","2023-05-03","14.52","1","14.52"
"Middle East","2023-05-03","55.21","1","55.21"
"North America","2023-05-03","1792.71","2","896.355"
"Europe","2023-05-04","241.16000000000003","3","80.38666666666667"
"Middle East","2023-05-04","255.18","1","255.18"
"North America","2023-05-04","996.0799999999999","2","498.03999999999996"
"Europe","2023-05-05","343.59","3","114.52999999999999"
"Latin America","2023-05-05","97.12","1","97.12"
"Middle East","2023-05-05","78.78","1","78.78"
"North America","2023-05-05","863","2","431.5"
"Latin America","2023-05-06","180.70999999999998","2","90.35499999999999"
"Southeast Asia","2023-05-06","408.40999999999997","2","204.20499999999998"
"Europe","2023-05-07","453.75","2","226.875"
"North America","2023-05-07","123.46000000000001","2","61.730000000000004"
"Southeast Asia","2023-05-07","660.97","2","330.485"
"Europe","2023-05-08","968.77","3","322.92333333333335"
"North America","2023-05-08","1444.8","2","722.4"
"Southeast Asia","2023-05-08","326.73","1","326.73"
"Latin America","2023-05-09","904.76","1","904.76"
"North America","2023-05-09","445.55","1","445.55"
"Europe","2023-05-10","367.88","1","367.88"
"North America","2023-05-10","1310.44","2","655.22"
"Southeast Asia","2023-05-10","128.5","1","128.5"
"Europe","2023-05-11","235.62","1","235.62"
"Latin America","2023-05-11","69.88","1","69.88"
"North America","2023-05-11","745.45","1","745.45"
"Europe","2023-05-12","169.79","2","84.895"
"Middle East","2023-05-12","28.99","1","28.99"
"Europe","2023-05-13","1583","6","263.8333333333333"
"Middle East","2023-05-13","651.12","1","651.12"
"North America","2023-05-13","167.38","1","167.38"
"Southeast Asia","2023-05-13","815.2","2","407.6"
"Latin America","2023-05-14","183.37","1","183.37"
"North America","2023-05-14","83.72","1","83.72"
"Europe","2023-05-15","1059.32","3","353.1066666666666"
"North America","2023-05-15","211.26","1","211.26"
"Europe","2023-05-16","1566.82","3","522.2733333333333"
"Middle East","2023-05-16","494.28","2","247.14"
"North America","2023-05-16","388.36","3","129.45333333333335"
"Southeast Asia","2023-05-16","55.86","1","55.86"
"Europe","2023-05-17","33.04","1","33.04"
"Latin America","2023-05-17","170.98","1","170.98"
"North America","2023-05-17","380.97","1","380.97"
"Southeast Asia","2023-05-17","859.52","1","859.52"
"Europe","2023-05-18","598.45","1","598.45"
"Southeast Asia","2023-05-18","187.51","1","187.51"
"Europe","2023-05-19","350.76","1","350.76"
"Latin America","2023-05-19","60.7","1","60.7"
"Middle East","2023-05-19","735.49","1","735.49"
"North America","2023-05-19","37.14","1","37.14"
"Europe","2023-05-20","1764.88","7","252.1257142857143"
"North America","2023-05-20","881.28","2","440.64"
"Southeast Asia","2023-05-20","921.73","1","921.73"
"Europe","2023-05-21","751.77","3","250.59"
"Middle East","2023-05-21","172.08","1","172.08"
"Southeast Asia","2023-05-21","83.21","1","83.21"
"Europe","2023-05-22","2696.16","3","898.7199999999999"
"Europe","2023-05-23","206.41","1","206.41"
"Latin America","2023-05-23","1570.86","1","1570.86"
"North America","2023-05-23","1745.23","5","349.046"
"Europe","2023-05-24","71.43","1","71.43"
"Southeast Asia","2023-05-24","48.16","1","48.16"
"Europe","2023-05-25","1993.51","3","664.5033333333333"
"North America","2023-05-25","443.78","1","443.78"
"Europe","2023-05-26","149.95999999999998","3","49.98666666666666"
"Middle East","2023-05-26","134.57","1","134.57"
"North America","2023-05-26","18.2","1","18.2"
"Europe","2023-05-27","44.62","1","44.62"
"Southeast Asia","2023-05-27","1026.78","2","513.39"
"Europe","2023-05-28","1021.27","2","510.635"
"Latin America","2023-05-28","927.9399999999999","2","463.96999999999997"
"Middle East","2023-05-28","24.64","1","24.64"
"North America","2023-05-28","392.27","3","130.75666666666666"
"Southeast Asia","2023-05-28","162.17","1","162.17"
"Latin America","2023-05-29","81.85","1","81.85"
"Europe","2023-05-30","582.24","1","582.24"
"Europe","2023-06-01","260.3","3","86.76666666666667"
"Latin America","2023-06-01","403.21","1","403.21"
"North America","2023-06-01","227.51","2","113.755"
"Europe","2023-06-02","1058.75","3","352.9166666666667"
"Europe","2023-06-03","71.84","2","35.92"
"Europe","2023-06-04","467.5","2","233.75"
"Middle East","2023-06-04","350.12","3","116.70666666666666"
"Southeast Asia","2023-06-04","92.29","1","92.29"
"Europe","2023-06-05","267.78","2","133.89"
"Latin America","2023-06-05","298.78","2","149.39"
"Middle East","2023-06-05","1031.51","1","1031.51"
"North America","2023-06-05","1444.1100000000001","2","722.0550000000001"
"Southeast Asia","2023-06-05","268.47","2","134.235"
"Europe","2023-06-06","821.88","4","205.47"
"Latin America","2023-06-06","1288.24","2","644.12"
"North America","2023-06-06","519.59","2","259.795"
"Europe","2023-06-07","55.64","1","55.64"
"Latin America","2023-06-07","104.68","1","104.68"
"North America","2023-06-07","104.57","1","104.57"
"Europe","2023-06-08","66.44","2","33.22"
"Latin America","2023-06-08","76.99","1","76.99"
"Southeast Asia","2023-06-08","216.66","1","216.66"
"Europe","2023-06-09","340.82","5","68.164"
"Middle East","2023-06-09","303.36","2","151.68"
"Europe","2023-06-10","196.67","3","65.55666666666666"
"North America","2023-06-10","197.68","1","197.68"
"Southeast Asia","2023-06-10","59.11","1","59.11"
"Europe","2023-06-11","2308.25","3","769.4166666666666"
"Middle East","2023-06-11","15.83","1","15.83"
"North America","2023-06-11","748.37","3","249.45666666666668"
"Southeast Asia","2023-06-11","402.48","1","402.48"
"Europe","2023-06-12","972.97","4","243.2425"
"Middle East","2023-06-12","27.02","1","27.02"
"North America","2023-06-12","489.52","2","244.76"
"Southeast Asia","2023-06-12","318.41","1","318.41"
"Europe","2023-06-13","32.66","1","32.66"
"North America","2023-06-13","99.38","2","49.69"
"Europe","2023-06-14","131.01","1","131.01"
"North America","2023-06-14","553.55","2","276.775"
"Southeast Asia","2023-06-14","76.89","1","76.89"
"Europe","2023-06-15","26.29","1","26.29"
"Europe","2023-06-16","907.06","4","226.765"
"Southeast Asia","2023-06-16","36.02","1","36.02"
"Europe","2023-06-17","16.24","1","16.24"
"North America","2023-06-17","91.7","1","91.7"
"Southeast Asia","2023-06-17","21.01","1","21.01"
"Europe","2023-06-18","314.94","2","157.47"
"Latin America","2023-06-18","14.99","1","14.99"
"North America","2023-06-18","265.01","1","265.01"
"Europe","2023-06-19","665.69","3","221.89666666666668"
"North America","2023-06-19","418.49","3","139.49666666666667"
"Europe","2023-06-20","655.2199999999999","2","327.60999999999996"
"Southeast Asia","2023-06-20","131.79","1","131.79"
"Europe","2023-06-21","1359.3","2","679.65"
"Middle East","2023-06-21","37.14","1","37.14"
"North America","2023-06-21","93.09","1","93.09"
"Europe","2023-06-22","257.78","2","128.89"
"Europe","2023-06-23","371.19","2","185.595"
"North America","2023-06-23","2245.19","5","449.038"
"Europe","2023-06-24","1243.14","4","310.785"
"Middle East","2023-06-24","1274.36","3","424.78666666666663"
"North America","2023-06-24","16.9","1","16.9"
"Europe","2023-06-25","928.62","4","232.155"
"North America","2023-06-25","103.44","2","51.72"
"Southeast Asia","2023-06-25","538.46","2","269.23"
"Europe","2023-06-26","2588.09","8","323.51125"
"Latin America","2023-06-26","1274.36","2","637.18"
"Middle East","2023-06-26","259.6","1","259.6"
"North America","2023-06-26","1383","2","691.5"
"Southeast Asia","2023-06-26","101.71","1","101.71"
"Europe","2023-06-27","3706.41","3","1235.47"
"Europe","2023-06-28","560.3000000000001","3","186.76666666666668"
"Latin America","2023-06-28","410.09","1","410.09"
"North America","2023-06-28","112.17","1","112.17"
"Europe","2023-07-01","837.37","3","279.12333333333333"
"Middle East","2023-07-01","92.26","1","92.26"
"Europe","2023-07-02","877.3","5","175.45999999999998"
"Latin America","2023-07-02","609.21","1","609.21"
"Southeast Asia","2023-07-02","649.77","1","649.77"
"Europe","2023-07-03","1860.89","1","1860.89"
"Middle East","2023-07-03","39.04","1","39.04"
"North America","2023-07-03","178.41","2","89.205"
"Southeast Asia","2023-07-03","263.72","2","131.86"
"Europe","2023-07-04","241.75","3","80.58333333333333"
"Middle East","2023-07-04","50.94","1","50.94"
"North America","2023-07-04","644.0799999999999","2","322.03999999999996"
"Europe","2023-07-05","1310.69","2","655.345"
"Middle East","2023-07-05","105.46","2","52.73"
"North America","2023-07-05","411.75","4","102.9375"
"Southeast Asia","2023-07-05","282.11","1","282.11"
"Latin America","2023-07-06","50.05","2","25.025"
"Middle East","2023-07-06","55.64","1","55.64"
"North America","2023-07-06","137.74","1","137.74"
"Europe","2023-07-07","1602.51","3","534.17"
"Middle East","2023-07-07","145.52","1","145.52"
"North America","2023-07-07","97.12","1","97.12"
"Europe","2023-07-08","152.84","2","76.42"
"Latin America","2023-07-08","508.75","2","254.375"
"Middle East","2023-07-08","155.9","2","77.95"
"North America","2023-07-08","330.61","3","110.20333333333333"
"Europe","2023-07-09","1465.04","8","183.13"
"Middle East","2023-07-09","238.63","3","79.54333333333334"
"North America","2023-07-09","2267.19","3","755.73"
"Southeast Asia","2023-07-09","148.3","2","74.15"
"Europe","2023-07-10","610.85","2","305.425"
"Latin America","2023-07-10","81.85","1","81.85"
"Middle East","2023-07-10","224.12","1","224.12"
"North America","2023-07-10","72.66","1","72.66"
"Europe","2023-07-11","508.18","3","169.39333333333335"
"Middle East","2023-07-11","153.25","1","153.25"
"North America","2023-07-11","618.6800000000001","5","123.73600000000002"
"Southeast Asia","2023-07-11","1021.13","1","1021.13"
"Europe","2023-07-12","436.62","2","218.31"
"Middle East","2023-07-12","356.74","3","118.91333333333334"
"North America","2023-07-12","929.43","4","232.3575"
"Europe","2023-07-13","695.78","5","139.156"
"Middle East","2023-07-13","373.73","1","373.73"
"North America","2023-07-13","82.22999999999999","2","41.114999999999995"
"Southeast Asia","2023-07-13","913.13","3","304.37666666666667"
"Europe","2023-07-14","500.69","1","500.69"
"Latin America","2023-07-14","29.03","1","29.03"
"Middle East","2023-07-14","11.8","1","11.8"
"North America","2023-07-14","1784.51","3","594.8366666666667"
"Southeast Asia","2023-07-14","226.1","1","226.1"
"Europe","2023-07-15","656.4","5","131.28"
"Middle East","2023-07-15","136.78","1","136.78"
"North America","2023-07-15","632.12","2","316.06"
"Southeast Asia","2023-07-15","519.64","1","519.64"
"Europe","2023-07-16","786.6800000000001","3","262.2266666666667"
"North America","2023-07-16","221.09000000000003","2","110.54500000000002"
"Southeast Asia","2023-07-16","115.82","1","115.82"
"Europe","2023-07-17","161.58","3","53.86000000000001"
"Latin America","2023-07-17","28.35","1","28.35"
"Southeast Asia","2023-07-17","472.5","1","472.5"
"Europe","2023-07-18","536.12","2","268.06"
"North America","2023-07-18","607.19","2","303.595"
"Southeast Asia","2023-07-18","859.52","1","859.52"
"Europe","2023-07-19","460.95","1","460.95"
"Latin America","2023-07-19","103.71","1","103.71"
"Middle East","2023-07-19","34.51","1","34.51"
"North America","2023-07-19","1124","2","562"
"Southeast Asia","2023-07-19","117.22","1","117.22"
"Europe","2023-07-20","631.14","1","631.14"
"Middle East","2023-07-20","149.72","1","149.72"
"North America","2023-07-20","910.9399999999999","4","227.73499999999999"
"Southeast Asia","2023-07-20","277.85","1","277.85"
"Europe","2023-07-21","159.04","3","53.01333333333333"
"Middle East","2023-07-21","256.47","1","256.47"
"North America","2023-07-21","78.73","2","39.365"
"Europe","2023-07-22","746.27","5","149.254"
"Latin America","2023-07-22","211.76","1","211.76"
"North America","2023-07-22","866.7","2","433.35"
"Southeast Asia","2023-07-22","72.16","1","72.16"
"Europe","2023-07-23","1112.06","5","222.41199999999998"
"Latin America","2023-07-23","221.92","2","110.96"
"Middle East","2023-07-23","58.02","1","58.02"
"North America","2023-07-23","105.88","2","52.94"
"Europe","2023-07-24","133.06","2","66.53"
"Middle East","2023-07-24","36.02","1","36.02"
"North America","2023-07-24","739.72","3","246.57333333333335"
"Europe","2023-07-25","695.0899999999999","4","173.77249999999998"
"Latin America","2023-07-25","117.24000000000001","2","58.620000000000005"
"Middle East","2023-07-25","26.29","1","26.29"
"North America","2023-07-25","581.66","2","290.83"
"Europe","2023-07-26","1005.5899999999999","3","335.19666666666666"
"Latin America","2023-07-26","429.37","1","429.37"
"Middle East","2023-07-26","37.18","1","37.18"
"Europe","2023-07-27","1714.7","4","428.675"
"Middle East","2023-07-27","57.74","1","57.74"
"North America","2023-07-27","311.51","3","103.83666666666666"
"Southeast Asia","2023-07-27","1005.73","2","502.865"
"Europe","2023-07-28","868.11","5","173.622"
"Latin America","2023-07-28","84.94","1","84.94"
"Middle East","2023-07-28","1131.01","2","565.505"
"North America","2023-07-28","3811.55","5","762.3100000000001"
"Southeast Asia","2023-07-28","417.22","2","208.61"
"Southeast Asia","2023-07-30","34.04","1","34.04"
"Europe","2023-07-31","184.81","1","184.81"
"Europe","2023-08-01","130.10000000000002","2","65.05000000000001"
"Latin America","2023-08-01","224.97","2","112.485"
"North America","2023-08-01","1151.98","4","287.995"
"Southeast Asia","2023-08-01","773.46","2","386.73"
"Europe","2023-08-02","467.59","4","116.8975"
"Middle East","2023-08-02","74.34","1","74.34"
"North America","2023-08-02","602.19","3","200.73000000000002"
"Southeast Asia","2023-08-02","1819.7","3","606.5666666666667"
"Europe","2023-08-03","508.53","4","127.1325"
"Latin America","2023-08-03","52.36","1","52.36"
"North America","2023-08-03","139.88","1","139.88"
"Southeast Asia","2023-08-03","234.43","1","234.43"
"Europe","2023-08-04","2181.1099999999997","4","545.2774999999999"
"Latin America","2023-08-04","64.67","1","64.67"
"North America","2023-08-04","409.77","2","204.885"
"Southeast Asia","2023-08-04","1383.9499999999998","3","461.3166666666666"
"Europe","2023-08-05","604.03","4","151.0075"
"Latin America","2023-08-05","243.48","1","243.48"
"Middle East","2023-08-05","128.57","1","128.57"
"North America","2023-08-05","363.84","2","181.92"
"Southeast Asia","2023-08-05","292.7","1","292.7"
"Europe","2023-08-06","199.11","2","99.555"
"Southeast Asia","2023-08-06","411.21000000000004","3","137.07000000000002"
"Europe","2023-08-07","1046.95","3","348.98333333333335"
"Southeast Asia","2023-08-07","1824.75","4","456.1875"
"Europe","2023-08-08","4980.89","6","830.1483333333334"
"Latin America","2023-08-08","298.98","1","298.98"
"Middle East","2023-08-08","1676.85","2","838.425"
"North America","2023-08-08","977.6500000000001","6","162.9416666666667"
"Southeast Asia","2023-08-08","916.32","1","916.32"
"Europe","2023-08-09","396.86","3","132.28666666666666"
"Southeast Asia","2023-08-09","732.64","2","366.32"
"Europe","2023-08-10","2226.88","4","556.72"
"Middle East","2023-08-10","21.38","1","21.38"
"North America","2023-08-10","1189.53","7","169.93285714285713"
"Southeast Asia","2023-08-10","306.5","2","153.25"
"Europe","2023-08-11","169.74","1","169.74"
"Latin America","2023-08-11","246.65","2","123.325"
"Middle East","2023-08-11","70.84","1","70.84"
"North America","2023-08-11","724.55","4","181.1375"
"Southeast Asia","2023-08-11","47.98","1","47.98"
"Europe","2023-08-12","1132.27","2","566.135"
"Middle East","2023-08-12","340.27","1","340.27"
"North America","2023-08-12","1529.11","6","254.85166666666666"
"Europe","2023-08-13","616.22","3","205.40666666666667"
"Latin America","2023-08-13","775.67","1","775.67"
"Middle East","2023-08-13","226.41","1","226.41"
"North America","2023-08-13","2535.41","4","633.8525"
"Southeast Asia","2023-08-13","125.68","1","125.68"
"Europe","2023-08-14","260.57","2","130.285"
"North America","2023-08-14","1095.3","3","365.09999999999997"
"Europe","2023-08-15","846.82","5","169.364"
"Latin America","2023-08-15","478.67","2","239.335"
"Middle East","2023-08-15","51.78","1","51.78"
"North America","2023-08-15","846.84","3","282.28000000000003"
"Southeast Asia","2023-08-15","596.75","2","298.375"
"Europe","2023-08-16","2579.74","2","1289.87"
"Latin America","2023-08-16","329.64","1","329.64"
"Middle East","2023-08-16","75.17","1","75.17"
"North America","2023-08-16","419.73","4","104.9325"
"Southeast Asia","2023-08-16","241.17000000000002","2","120.58500000000001"
"Europe","2023-08-17","74.16","3","24.72"
"Latin America","2023-08-17","939.99","1","939.99"
"North America","2023-08-17","1862.8700000000001","4","465.71750000000003"
"Europe","2023-08-18","278.85","1","278.85"
"North America","2023-08-18","659.04","2","329.52"
"Southeast Asia","2023-08-18","24.64","1","24.64"
"Europe","2023-08-19","262.64000000000004","3","87.54666666666668"
"Latin America","2023-08-19","2965.54","1","2965.54"
"North America","2023-08-19","295.95","3","98.64999999999999"
"Southeast Asia","2023-08-19","36.11","1","36.11"
"Europe","2023-08-20","57.66","1","57.66"
"Latin America","2023-08-20","68.3","1","68.3"
"Middle East","2023-08-20","41.59","2","20.795"
"North America","2023-08-20","250.03","1","250.03"
"Southeast Asia","2023-08-20","40.02","1","40.02"
"Europe","2023-08-21","243.29","1","243.29"
"North America","2023-08-21","69.44","1","69.44"
"Southeast Asia","2023-08-21","1457.54","3","485.84666666666664"
"Europe","2023-08-22","467.20000000000005","4","116.80000000000001"
"Latin America","2023-08-22","391.81","4","97.9525"
"Middle East","2023-08-22","68.07","1","68.07"
"North America","2023-08-22","129.26","1","129.26"
"Southeast Asia","2023-08-22","940.78","1","940.78"
"Europe","2023-08-23","236.33","3","78.77666666666667"
"Latin America","2023-08-23","175.78","1","175.78"
"North America","2023-08-23","134.84","3","44.946666666666665"
"Southeast Asia","2023-08-23","520.74","3","173.58"
"Europe","2023-08-24","1202.02","1","1202.02"
"Middle East","2023-08-24","773.38","1","773.38"
"North America","2023-08-24","1050.67","3","350.22333333333336"
"Southeast Asia","2023-08-24","1942.5","5","388.5"
"Europe","2023-08-25","599.5","2","299.75"
"Middle East","2023-08-25","173.24","1","173.24"
"North America","2023-08-25","288.95","2","144.475"
"Europe","2023-08-26","3013.3199999999997","6","502.21999999999997"
"Southeast Asia","2023-08-26","400.91","1","400.91"
"Europe","2023-08-27","732.47","4","183.1175"
"North America","2023-08-27","78.21","2","39.105"
"Southeast Asia","2023-08-27","350.41","1","350.41"
"Europe","2023-08-28","1964.3899999999999","5","392.878"
"Latin America","2023-08-28","1131.35","1","1131.35"
"North America","2023-08-28","320.52","3","106.83999999999999"
"Southeast Asia","2023-08-28","101.08","1","101.08"
"Europe","2023-08-30","235.34","2","117.67"
"Europe","2023-09-01","1548.3","3","516.1"
"North America","2023-09-01","896.2","8","112.025"
"Europe","2023-09-02","1468.23","2","734.115"
"North America","2023-09-02","805.11","2","402.555"
"Southeast Asia","2023-09-02","464.66","1","464.66"
"Europe","2023-09-03","131.27","4","32.8175"
"Latin America","2023-09-03","91.9","1","91.9"
"North America","2023-09-03","603.8399999999999","3","201.27999999999997"
"Southeast Asia","2023-09-03","859.95","3","286.65000000000003"
"Europe","2023-09-04","766.04","7","109.4342857142857"
"North America","2023-09-04","220.99","3","73.66333333333334"
"Europe","2023-09-05","454.77","2","227.385"
"North America","2023-09-05","2555.41","5","511.082"
"Europe","2023-09-06","324.19","3","108.06333333333333"
"Middle East","2023-09-06","164.91","1","164.91"
"North America","2023-09-06","1663.2","3","554.4"
"Europe","2023-09-07","602.65","3","200.88333333333333"
"North America","2023-09-07","980.79","2","490.395"
"Southeast Asia","2023-09-07","1761.1000000000001","3","587.0333333333334"
"Europe","2023-09-08","636.7","1","636.7"
"Latin America","2023-09-08","23.66","1","23.66"
"Middle East","2023-09-08","60.65","1","60.65"
"North America","2023-09-08","570.4399999999999","2","285.21999999999997"
"Southeast Asia","2023-09-08","763.91","1","763.91"
"Europe","2023-09-09","39.95","1","39.95"
"Latin America","2023-09-09","71.43","1","71.43"
"North America","2023-09-09","299.47","1","299.47"
"Europe","2023-09-10","212.41","2","106.205"
"North America","2023-09-10","1235.34","7","176.47714285714284"
"Europe","2023-09-11","1009.6099999999999","3","336.53666666666663"
"North America","2023-09-11","1877.67","3","625.89"
"Southeast Asia","2023-09-11","639.5500000000001","2","319.77500000000003"
"Latin America","2023-09-12","247.09","1","247.09"
"North America","2023-09-12","803.33","3","267.7766666666667"
"Southeast Asia","2023-09-12","833.9699999999999","4","208.49249999999998"
"Europe","2023-09-13","1266.96","3","422.32"
"Latin America","2023-09-13","216.28","2","108.14"
"North America","2023-09-13","1498.24","6","249.70666666666668"
"Southeast Asia","2023-09-13","19.59","1","19.59"
"Europe","2023-09-14","1634.6","2","817.3"
"North America","2023-09-14","257.79","2","128.895"
"Europe","2023-09-15","259.99","3","86.66333333333334"
"Middle East","2023-09-15","44.32","1","44.32"
"North America","2023-09-15","79.68","1","79.68"
"Southeast Asia","2023-09-15","1848.58","1","1848.58"
"Europe","2023-09-16","971.64","2","485.82"
"Middle East","2023-09-16","360.51","1","360.51"
"North America","2023-09-16","133.08","2","66.54"
"Southeast Asia","2023-09-16","1095.73","1","1095.73"
"Europe","2023-09-17","52.08","2","26.04"
"North America","2023-09-17","394.15","3","131.38333333333333"
"Southeast Asia","2023-09-17","194.86","1","194.86"
"Europe","2023-09-18","784.82","2","392.41"
"North America","2023-09-18","777.67","2","388.835"
"Southeast Asia","2023-09-18","448.8","1","448.8"
"Europe","2023-09-19","2233.63","6","372.2716666666667"
"Middle East","2023-09-19","721.42","1","721.42"
"Europe","2023-09-20","1460.24","2","730.12"
"Middle East","2023-09-20","166.37","2","83.185"
"North America","2023-09-20","118.45","2","59.225"
"Europe","2023-09-21","1861.3","7","265.9"
"Latin America","2023-09-21","1329.74","3","443.24666666666667"
"Middle East","2023-09-21","169.06","1","169.06"
"North America","2023-09-21","2262.23","3","754.0766666666667"
"Southeast Asia","2023-09-21","748.31","2","374.155"
"Europe","2023-09-22","150.96","1","150.96"
"Latin America","2023-09-22","85.16","1","85.16"
"North America","2023-09-22","1671.65","2","835.825"
"Southeast Asia","2023-09-22","265.27","2","132.635"
"Europe","2023-09-23","1671.19","5","334.238"
"Middle East","2023-09-23","109.94","1","109.94"
"North America","2023-09-23","317.67","1","317.67"
"North America","2023-09-24","839.18","1","839.18"
"Europe","2023-09-25","3258.34","7","465.4771428571429"
"Latin America","2023-09-25","617.56","1","617.56"
"North America","2023-09-25","244.52","2","122.26"
"Southeast Asia","2023-09-25","155.17","1","155.17"
"Europe","2023-09-26","2331.69","7","333.09857142857146"
"Middle East","2023-09-26","668.27","1","668.27"
"North America","2023-09-26","1997.3700000000001","4","499.34250000000003"
"Europe","2023-09-27","763.4","2","381.7"
"Middle East","2023-09-27","92.52","1","92.52"
"North America","2023-09-27","760.5","2","380.25"
"Southeast Asia","2023-09-27","124.8","1","124.8"
"Europe","2023-09-28","513.11","4","128.2775"
"North America","2023-09-28","311.47","1","311.47"
"Europe","2023-09-30","149.81","1","149.81"
"Europe","2023-10-01","1491.42","4","372.855"
"Latin America","2023-10-01","69.6","1","69.6"
"Middle East","2023-10-01","57.79","1","57.79"
"North America","2023-10-01","1113.67","3","371.22333333333336"
"Southeast Asia","2023-10-01","259.22","4","64.805"
"Europe","2023-10-02","491.38","4","122.845"
"Latin America","2023-10-02","982.33","2","491.165"
"North America","2023-10-02","1586.1200000000001","2","793.0600000000001"
"Southeast Asia","2023-10-02","62.84","1","62.84"
"Europe","2023-10-03","553.77","2","276.885"
"Latin America","2023-10-03","169.43","1","169.43"
"Middle East","2023-10-03","320.1","2","160.05"
"North America","2023-10-03","1979.14","6","329.8566666666667"
"Europe","2023-10-04","1360.88","5","272.17600000000004"
"North America","2023-10-04","39.29","1","39.29"
"Southeast Asia","2023-10-04","298.89","2","149.445"
"Europe","2023-10-05","665.46","5","133.092"
"Latin America","2023-10-05","1058.0900000000001","2","529.0450000000001"
"Middle East","2023-10-05","672.71","1","672.71"
"North America","2023-10-05","600.88","3","200.29333333333332"
"Europe","2023-10-06","280.71999999999997","4","70.17999999999999"
"Latin America","2023-10-06","669.36","1","669.36"
"North America","2023-10-06","973.96","5","194.792"
"Southeast Asia","2023-10-06","660.95","2","330.475"
"Europe","2023-10-07","406.74","1","406.74"
"Latin America","2023-10-07","15.83","1","15.83"
"Middle East","2023-10-07","57.02","1","57.02"
"North America","2023-10-07","89.57","1","89.57"
"Southeast Asia","2023-10-07","1026.09","1","1026.09"
"Europe","2023-10-08","3837.93","6","639.655"
"Middle East","2023-10-08","68.09","2","34.045"
"Southeast Asia","2023-10-08","573.94","1","573.94"
"Europe","2023-10-09","621.02","4","155.255"
"North America","2023-10-09","723.06","2","361.53"
"Southeast Asia","2023-10-09","1170.78","4","292.695"
"Europe","2023-10-10","151.66","1","151.66"
"Middle East","2023-10-10","121.46","1","121.46"
"North America","2023-10-10","1432.96","4","358.24"
"Southeast Asia","2023-10-10","630.65","2","315.325"
"Europe","2023-10-11","1441.93","6","240.3216666666667"
"Latin America","2023-10-11","138.65","1","138.65"
"Middle East","2023-10-11","475.06","1","475.06"
"Europe","2023-10-12","355.31","3","118.43666666666667"
"Latin America","2023-10-12","1590.28","2","795.14"
"Europe","2023-10-13","609.75","3","203.25"
"Latin America","2023-10-13","356.21999999999997","3","118.74"
"Middle East","2023-10-13","826.81","2","413.405"
"North America","2023-10-13","1146.19","3","382.06333333333333"
"Europe","2023-10-14","164.39000000000001","2","82.19500000000001"
